herb,positive_target,negative_target,positive_score,negative_score,fold
447,1103,910,2.9385,0.1491,0
405,1243,2173,2.97,0.1502,0
134,179,4961,4.4617,0.1579,3
150,2198,7253,6.2468,0.1449,1
473,429,6612,8.0385,0.1481,4
467,3244,5769,5.2335,0.1558,2
175,897,731,2.1259,0.1624,2
142,2198,910,3.1403,0.1367,4
401,3945,2038,1.5524,0.1437,3
281,6118,2859,1.7542,0.1618,4
32,846,5257,2.519,0.1452,3
376,1909,5268,5.8058,0.1278,2
10,4575,6612,7.836,0.1363,2
367,3911,3237,1.4923,0.1512,4
202,1902,7117,4.0466,0.1509,3
241,1242,1390,1.9993,0.1561,1
385,5081,7402,3.5996,0.1554,2
366,174,2356,3.8437,0.1782,1
109,7061,1222,1.0506,0.1614,0
357,6426,5824,6.4801,0.1582,3
405,5431,4840,10.8702,0.1363,0
372,2849,5269,1.9136,0.149,3
376,966,2036,3.3993,0.1362,2
404,429,4121,2.6694,0.1257,2
65,5270,3036,3.139,0.1563,1
238,966,17,6.0298,0.1715,3
124,1221,3411,1.221,0.1546,3
461,69,7607,5.8354,0.1293,2
285,5081,4535,6.8058,0.1284,4
175,5270,2509,3.6513,0.1614,2
60,2199,248,1.2647,0.136,3
42,4918,720,0.7225,0.1545,2
379,664,5269,0.6759,0.1577,4
300,3244,6359,1.6884,0.1667,0
50,5021,7253,2.8923,0.1647,3
87,3945,1662,1.6649,0.173,2
375,1103,3008,3.2547,0.1583,2
175,1221,884,3.1846,0.1619,2
412,429,3149,11.2929,0.1387,0
37,1243,1199,2.3088,0.1323,3
396,1909,720,3.7299,0.1457,0
100,5269,2174,0.743,0.1525,0
347,1909,1300,17.2751,0.1388,3
391,2198,1642,4.4766,0.1316,2
349,2849,742,5.3285,0.1524,3
337,1248,4535,2.0308,0.1466,4
446,5270,3411,1.7287,0.1628,0
265,4415,4591,2.6512,0.1436,3
18,5081,1831,5.6479,0.1669,4
305,179,7118,3.3556,0.1796,4
98,7061,3145,1.563,0.1542,0
443,2198,910,3.5125,0.1476,2
139,5081,3149,7.2956,0.1547,3
49,2198,2258,10.4086,0.1516,0
234,2198,2129,15.5422,0.1489,3
458,1909,3237,5.6675,0.1538,2
489,2198,5188,4.016,0.1454,3
204,5515,910,6.877,0.141,1
387,5270,2038,1.4629,0.1378,1
623,4415,1222,1.6182,0.1543,4
48,1252,6910,1.6968,0.1574,3
439,3911,6906,2.8213,0.1623,0
487,429,2314,4.7997,0.1559,3
143,5081,4891,5.5582,0.1596,4
461,5081,3303,2.9551,0.1417,2
249,4575,221,3.5684,0.1453,1
182,806,3149,10.0849,0.1385,4
214,1909,2174,28.1871,0.1539,4
232,4415,1222,1.736,0.1424,4
356,1902,35,3.2761,0.1452,4
214,2540,6359,21.2073,0.1608,4
171,2198,2258,6.2069,0.1577,4
266,4747,7557,2.2908,0.1622,3
350,2198,3229,6.607,0.1424,3
153,173,7403,8.5749,0.1618,0
39,6426,1979,6.7143,0.1539,0
25,5431,1190,16.9136,0.1438,4
323,1244,6066,2.624,0.1677,3
267,806,3008,6.64,0.1513,3
453,5081,5500,3.8434,0.1529,3
406,2198,3917,5.0822,0.1259,2
119,6042,4789,1.8924,0.168,2
431,5431,6101,5.3739,0.1428,0
447,966,720,1.7616,0.1553,0
333,3451,2173,0.992,0.1591,4
226,6042,7270,1.5417,0.15,0
623,966,2036,1.5222,0.1568,4
489,5514,6066,2.4656,0.1487,3
142,5515,1651,3.6779,0.1245,4
50,179,2489,2.3853,0.1684,3
123,1103,35,3.6787,0.1457,2
103,2198,4840,5.5349,0.1457,4
321,1909,4122,4.1946,0.1418,0
98,1664,6765,1.1702,0.1622,0
102,5270,7117,1.9772,0.153,4
91,5270,5629,9.5247,0.1487,4
230,1243,1956,3.4906,0.1516,2
131,806,3952,19.3493,0.1618,2
372,806,6209,3.2037,0.1424,3
261,4575,6359,15.2596,0.1561,1
113,2540,2038,6.8938,0.1594,2
238,1902,1833,6.0669,0.1715,3
25,5515,6359,16.1989,0.1505,4
240,2540,3237,2.0579,0.1429,0
136,5515,4394,9.1431,0.1637,3
478,69,702,2.75,0.1525,3
312,4628,6988,1.7776,0.169,3
625,5081,35,1.2554,0.1441,3
407,1909,2995,3.0467,0.1321,1
409,429,1264,5.2512,0.166,1
372,1909,3237,2.8456,0.1446,3
123,1243,6552,1.8451,0.1543,2
84,1103,2513,4.5788,0.1646,0
431,1242,2258,2.3834,0.1564,0
219,5270,1020,1.34,0.1525,3
9,4918,5302,0.9121,0.1597,3
185,3945,6812,3.1059,0.1638,2
415,4575,7551,5.4886,0.143,3
304,179,4961,1.5355,0.1695,0
145,2540,2525,3.8332,0.1702,0
213,3285,6884,0.8236,0.1776,0
86,1664,2345,1.104,0.1638,2
471,2198,959,3.2108,0.135,2
267,966,2096,4.8821,0.1584,3
74,1651,2816,1.3786,0.1512,3
406,5081,3343,3.5129,0.1319,2
336,806,4961,7.9528,0.1491,1
70,5431,3237,5.5243,0.1376,1
38,5270,4535,3.7189,0.1455,2
126,5431,6101,13.2517,0.148,4
201,6118,2173,1.647,0.1698,1
347,2849,6035,7.5126,0.1527,3
88,2198,3411,9.6971,0.1576,4
33,244,1814,2.8327,0.1504,1
510,2915,5507,0.7052,0.1594,1
135,2540,1190,8.6569,0.1511,3
229,69,6555,2.566,0.1596,0
451,2198,6906,2.4167,0.162,2
376,429,5259,3.939,0.1338,2
232,2198,35,2.6026,0.1382,4
150,1909,6128,6.4512,0.1448,1
432,1902,620,2.7544,0.1389,0
32,2849,2036,2.8689,0.1443,3
80,7061,3349,1.812,0.1734,2
229,5434,3739,1.1829,0.1618,0
89,902,4535,0.8263,0.1475,1
236,1103,2036,2.0284,0.14,0
6,5431,6101,13.8081,0.1478,4
307,3259,954,0.5844,0.1554,2
281,5514,6459,3.4448,0.1601,4
226,1244,7271,1.7078,0.1491,0
175,2199,6885,4.3251,0.1599,2
193,4628,4612,3.4485,0.1485,4
262,2198,3229,3.1376,0.1392,3
38,4415,3411,3.1291,0.1496,2
375,2849,6765,2.4254,0.1584,2
375,2540,1059,2.274,0.1606,2
88,2540,5540,5.9398,0.1647,4
79,4575,3149,3.4442,0.1566,1
207,5431,7117,3.5199,0.1389,3
383,2199,6388,1.1159,0.1479,0
201,179,3952,1.6298,0.1705,1
343,5434,3412,1.2785,0.1722,2
334,7061,4492,1.0864,0.1502,0
480,6118,3474,2.9456,0.1557,0
68,664,2668,1.7888,0.1562,3
280,1103,3237,4.6128,0.1403,4
118,5514,4013,4.1535,0.1602,2
361,3911,5500,2.5333,0.1672,4
372,5515,5268,3.3911,0.1421,3
134,6426,1300,7.8637,0.1461,3
279,3945,720,2.048,0.1425,0
289,4415,3008,2.4625,0.1496,4
309,5081,4130,3.6363,0.16,3
276,5514,674,5.258,0.1426,3
303,1103,7401,0.9108,0.1775,0
238,5431,3237,16.0447,0.1518,3
96,2199,7557,1.6012,0.1619,1
142,2199,5259,2.1809,0.1424,4
413,7061,3625,0.7462,0.1427,3
192,806,3952,10.8504,0.1672,4
300,4629,3374,1.7618,0.1658,0
117,3945,1222,3.1741,0.1409,3
480,69,3266,3.2456,0.1556,0
477,6042,1979,2.3641,0.1692,4
240,174,2036,1.0822,0.1496,0
432,5431,4840,2.9542,0.1381,0
260,1103,4051,4.7609,0.156,1
75,5431,6101,19.1864,0.1486,3
439,1242,3041,2.5453,0.1626,0
375,5514,35,4.5699,0.1494,2
139,2199,4492,7.0846,0.1558,3
183,4415,1119,2.2923,0.1446,4
253,806,35,5.3086,0.1376,0
207,173,4891,1.6439,0.1446,3
184,806,6209,5.6423,0.1434,4
179,5514,2459,5.876,0.15,1
451,1252,6209,1.1315,0.1748,2
315,3945,2096,4.1382,0.1502,4
466,897,4406,1.7495,0.1687,0
125,5021,5268,1.7711,0.1384,3
280,897,6765,1.5111,0.1489,4
471,429,4134,4.6705,0.1335,2
255,3945,5376,1.3975,0.1702,1
70,6426,1300,1.6928,0.1486,1
315,5515,6612,13.031,0.1308,4
343,174,2541,1.2001,0.1745,2
460,1243,221,1.896,0.1531,3
353,1221,1504,3.0672,0.1676,2
109,5268,4406,0.7319,0.166,0
181,2198,35,3.2416,0.137,3
101,3945,20,2.2907,0.1564,4
409,4575,2891,7.7864,0.1632,1
155,966,1119,2.0382,0.1775,2
307,664,2838,0.5908,0.1548,2
130,429,5269,7.7699,0.1443,2
472,1103,7509,3.0694,0.1349,0
334,3012,4013,1.0782,0.1523,0
194,429,6612,3.7986,0.1553,0
20,1243,1917,4.8246,0.1569,0
211,5760,4962,1.7732,0.1584,0
265,3945,4492,1.8571,0.145,3
190,429,4130,1.2142,0.1641,2
171,2540,4817,9.3563,0.1469,4
70,1909,5269,4.9961,0.1418,1
384,6042,6359,1.2027,0.1591,4
326,2849,2819,1.5555,0.1699,4
131,1221,5683,12.0633,0.1713,2
176,6426,2036,5.1864,0.1412,0
189,1909,2389,5.8727,0.1505,2
142,5514,3237,3.032,0.1384,4
466,1103,35,3.785,0.1592,0
318,1244,1883,6.1921,0.1776,2
6,3945,4961,3.9568,0.1677,4
63,6042,6609,2.6936,0.176,0
70,4628,4406,2.6753,0.1459,1
173,5514,2173,3.7518,0.1592,4
52,2199,3349,1.9004,0.1622,4
61,5515,3237,15.7661,0.1523,4
230,4021,6174,2.0043,0.1568,2
7,4628,3125,1.5692,0.1625,1
18,3945,5505,3.6,0.1752,4
257,155,6359,2.5486,0.1637,3
