herb,positive_target,negative_target,positive_score,negative_score,fold
284,3244,2174,2.517,0.1491,3
94,5834,7746,0.5547,0.1745,2
140,902,6172,1.5811,0.1652,4
269,2198,1222,11.7743,0.1467,2
150,2401,3476,0.5809,0.1701,1
140,1037,1014,0.5686,0.1741,4
247,970,742,0.7382,0.1631,4
405,69,4492,6.1669,0.1458,3
184,178,2859,0.9692,0.162,2
20,5081,3187,3.3483,0.1583,0
3,3280,3279,0.6775,0.1581,0
153,175,5003,3.3666,0.1699,2
269,806,3008,9.5618,0.1509,2
210,3945,644,1.6772,0.1554,2
12,3451,7557,0.7047,0.169,3
341,5021,5500,1.996,0.1518,3
384,897,22,1.2823,0.157,0
153,1242,3344,13.1146,0.1489,2
117,7126,1119,0.6947,0.1565,0
458,5021,5505,1.7528,0.1648,1
406,6924,2268,0.5963,0.1621,2
467,2540,4817,15.1969,0.1376,2
396,3349,1945,0.5637,0.1576,3
33,806,35,8.9924,0.1388,2
229,5431,6359,4.5666,0.1537,1
285,897,1619,2.5985,0.141,3
368,5760,644,0.9506,0.1615,2
202,5128,3235,0.6733,0.1687,3
346,7606,6034,1.4399,0.1605,3
459,173,6552,1.6152,0.1673,1
112,3307,5327,0.9384,0.1676,0
347,3244,6591,2.2812,0.1729,2
384,155,7118,1.2213,0.1588,0
74,903,2561,0.7088,0.1618,3
205,5760,1705,2.0935,0.1739,3
149,5431,910,11.1399,0.1456,2
459,1242,1222,2.9897,0.1627,1
321,1623,644,0.7833,0.1621,3
280,1664,51,0.9093,0.1638,1
237,7061,1059,2.3277,0.1607,0
118,5081,5500,2.9376,0.1617,3
385,3874,2604,1.5374,0.1608,0
150,4265,584,0.6572,0.1675,1
203,806,3229,4.3347,0.1417,2
489,3490,2839,0.7163,0.1661,2
265,6426,1979,1.4146,0.1489,3
72,966,720,1.8167,0.1583,3
118,5378,1517,0.646,0.1736,3
480,5514,4371,4.1465,0.148,0
102,806,4840,3.3268,0.1492,2
130,3451,2406,1.0751,0.1632,1
263,3490,5327,1.3838,0.1585,2
70,897,2096,1.4316,0.1528,3
72,4575,6209,2.6675,0.1516,3
217,966,7344,2.5795,0.1453,2
185,294,4879,1.0157,0.1741,1
241,177,1504,0.7688,0.1719,4
364,4575,6209,1.565,0.1389,4
12,6635,3235,0.8897,0.1634,3
427,1103,1110,2.6328,0.1452,3
347,2199,3374,7.2767,0.1532,2
219,7061,7520,0.9921,0.1551,3
94,7139,7771,0.5574,0.1744,2
383,1909,6101,2.5801,0.1404,0
350,5475,6196,0.7524,0.1665,2
383,5081,5259,2.2076,0.1429,0
113,2849,4406,4.4506,0.1645,2
274,7237,2860,0.8425,0.1627,3
376,639,3130,0.9039,0.1453,2
211,4574,3784,0.5719,0.1707,2
150,1623,4996,1.1652,0.1588,1
367,2198,6612,2.1558,0.1462,1
481,3911,702,1.8989,0.1529,2
193,3047,893,0.8847,0.1647,1
260,806,901,7.3789,0.1521,0
383,3945,2036,1.4475,0.1454,0
326,5081,6059,1.9135,0.1663,2
309,5514,3344,3.5307,0.1614,2
236,4629,2096,0.9325,0.1484,4
55,178,5696,1.2992,0.1567,4
167,3853,4996,1.3203,0.1672,3
34,3451,5696,1.3811,0.1626,4
326,5431,5629,3.9626,0.1547,2
439,5515,4122,4.8527,0.1465,0
262,3178,971,0.8135,0.1689,0
316,806,6906,2.0962,0.1497,3
203,2849,4492,2.9639,0.1474,2
278,6286,4044,0.7589,0.152,4
415,806,7025,4.705,0.1432,0
241,1103,1264,2.2671,0.153,4
247,2972,1476,0.6556,0.1652,4
271,2315,971,0.569,0.1664,2
209,7061,742,1.8689,0.1728,1
23,4130,5694,0.6105,0.1632,4
459,5431,4840,5.8931,0.1543,1
191,2859,6456,0.6053,0.1526,4
50,3259,59,0.5565,0.1747,4
177,2088,6387,0.5801,0.1388,0
467,252,4694,1.1518,0.1676,2
345,3178,6390,0.813,0.1486,4
285,4414,392,1.9402,0.1454,3
154,5515,256,4.6424,0.1624,1
140,6598,6941,0.5554,0.1742,4
403,2540,35,1.6006,0.1426,1
349,966,4961,6.14,0.1491,3
374,2540,3149,4.6489,0.1474,2
90,5515,2891,10.7339,0.1539,1
285,4575,720,9.2686,0.1224,3
276,2198,35,3.7419,0.1478,1
432,294,5507,0.6547,0.1524,0
262,5128,1396,1.3558,0.1539,0
294,3178,4972,0.5838,0.1602,0
420,4121,5540,0.7099,0.1672,2
150,1582,7557,1.5166,0.156,1
346,3853,4590,1.0398,0.1658,3
217,1221,7239,1.9997,0.1495,2
101,5515,3228,5.6254,0.144,3
67,1245,4122,0.9493,0.1622,2
623,4415,1222,1.6182,0.1543,4
334,5128,6704,0.9035,0.1581,2
361,903,824,0.6849,0.1746,2
78,244,1814,0.8876,0.1587,1
430,1243,596,2.075,0.1671,4
447,970,2860,0.7747,0.1642,2
308,2794,6884,0.7231,0.1651,1
289,5514,620,5.0537,0.1423,4
58,1103,1059,3.3578,0.1423,1
228,1909,6612,13.2471,0.139,1
263,4575,1979,6.9864,0.1383,2
167,3947,7408,0.9594,0.1712,3
193,806,910,5.9914,0.1437,1
188,682,4711,0.5658,0.1658,1
7,4629,6295,1.133,0.1634,2
346,5578,1918,0.7391,0.1707,3
493,5270,4130,2.5294,0.1556,1
345,2540,910,2.603,0.1422,4
