herb,positive_target,negative_target,positive_score,negative_score,fold
675,3874,617,1.0313,0.163,1
197,5515,6359,11.0484,0.1592,4
392,4747,7402,1.3247,0.1694,0
45,1909,6101,7.4662,0.1522,1
43,429,1264,6.8327,0.1415,3
446,429,6612,9.6905,0.1525,4
22,4575,7402,4.2255,0.1616,1
256,806,620,4.5836,0.1377,0
220,5515,4134,4.3862,0.1382,1
103,1103,910,3.1875,0.1472,2
85,806,6239,6.8409,0.1548,0
228,5515,35,11.8334,0.1439,1
64,429,3227,2.9284,0.1475,0
373,5431,256,4.3014,0.1595,2
291,5270,6066,2.1392,0.1585,0
404,2198,3227,2.8201,0.1257,4
432,2198,5268,2.7935,0.1388,3
88,2198,3411,9.6971,0.1576,0
388,5021,1734,0.8718,0.1416,4
30,1909,3125,2.4148,0.1484,3
86,7061,1041,1.9342,0.1332,0
343,1909,163,3.4222,0.1547,3
379,1242,910,1.6314,0.1512,2
195,4628,2471,3.8892,0.1663,1
382,6428,392,1.2703,0.159,0
415,5431,910,8.3399,0.141,4
310,5431,6101,6.089,0.1407,1
203,69,4001,6.146,0.1372,3
463,5515,4817,18.8389,0.1531,3
9,5515,3952,3.9938,0.147,1
59,806,4122,12.0415,0.13,4
315,4575,1222,9.3379,0.1394,1
453,5431,4134,6.9061,0.1463,4
491,5431,1642,12.4665,0.136,1
549,806,786,0.9153,0.1274,1
458,2198,423,6.5693,0.1506,4
286,2198,3237,10.1222,0.1319,3
191,5431,6612,8.8508,0.1156,2
62,2540,624,5.5115,0.1571,0
428,5431,1650,4.1247,0.1391,3
182,1909,720,11.2445,0.1373,4
364,2198,4134,2.5381,0.1356,2
201,5431,2389,2.7899,0.1561,0
376,5431,3237,4.6069,0.13,1
392,1243,6101,1.6039,0.1676,0
456,429,35,13.0418,0.1557,2
136,69,7681,7.1855,0.1655,0
285,5515,3237,10.3339,0.119,0
219,1909,6390,2.8126,0.138,3
380,5515,252,0.913,0.1417,1
281,69,2042,8.5085,0.141,3
254,806,5268,3.4964,0.1338,4
380,5081,3228,0.5699,0.1452,1
246,5431,4122,15.0174,0.1299,1
315,2198,3229,11.8574,0.1359,1
459,1909,5268,5.6305,0.1551,4
48,1902,1880,3.1682,0.1561,2
393,806,3952,5.0026,0.1661,0
356,429,910,4.266,0.1433,0
422,1909,6612,4.3878,0.129,4
637,211,7402,0.5676,0.1748,4
318,5431,6359,19.9236,0.1501,0
399,5514,1300,6.2836,0.1571,0
270,69,720,15.0802,0.1482,2
339,897,910,0.7158,0.1501,4
340,6209,4730,0.5855,0.1548,2
16,4575,2129,4.4023,0.1727,0
22,429,5500,5.2108,0.1601,1
3,5515,6209,5.9684,0.1394,0
78,2540,3237,4.0915,0.1463,2
455,69,4817,15.595,0.1442,3
437,5431,4121,2.5204,0.1449,0
134,69,6101,14.144,0.1392,4
177,1103,7083,2.6817,0.1231,4
21,429,2314,8.1061,0.1402,0
222,966,35,9.9281,0.1565,1
34,2198,3237,9.3784,0.1414,1
44,5515,6209,1.222,0.1454,4
275,155,1833,1.5636,0.1407,0
273,2198,3008,29.3922,0.1577,2
34,806,35,9.2393,0.1415,1
334,5270,3237,2.8623,0.1437,1
380,846,221,0.5535,0.1453,1
297,5515,6552,9.9175,0.1406,3
109,5431,6612,5.2117,0.1514,1
70,1909,5269,4.9961,0.1418,2
163,69,901,5.1588,0.162,0
385,1909,1199,6.5919,0.1406,1
170,4575,7118,5.9002,0.1615,1
157,1103,4134,1.5678,0.141,0
334,806,6209,7.0011,0.1415,1
134,5515,3229,14.4105,0.1359,4
453,2198,910,5.156,0.1503,4
4,5431,6612,6.7095,0.1486,2
405,2198,3237,8.921,0.1394,3
275,5431,3404,9.4298,0.125,0
5,69,6101,3.8868,0.1597,0
38,69,5500,6.5646,0.1354,4
125,4628,4122,1.9603,0.1363,2
625,429,6612,1.3806,0.1393,0
378,4575,4121,1.0481,0.1585,3
371,5514,4817,2.9885,0.1609,3
59,1909,1190,8.9269,0.1441,4
233,1103,2389,3.0843,0.1647,1
292,1909,4001,6.0311,0.1538,2
583,664,2331,1.1087,0.1748,1
485,3874,4499,4.181,0.165,0
453,1909,6209,6.5093,0.1499,4
209,1909,5269,16.1248,0.1464,2
345,5515,20,3.2697,0.1404,1
25,1909,6101,16.9373,0.1413,0
37,69,1642,3.1147,0.1308,1
173,4575,5500,4.2782,0.1568,1
66,4629,617,0.7672,0.162,0
279,5515,4840,4.2633,0.1354,1
241,4575,910,3.3135,0.1488,2
357,5515,3237,16.3914,0.1401,4
267,1909,3229,9.1781,0.1433,2
253,806,35,5.3086,0.1376,1
114,5431,248,4.9946,0.1319,1
275,897,4013,1.932,0.1373,0
219,69,1041,2.4417,0.1393,3
190,5431,5500,1.6172,0.1611,4
39,2198,1264,14.8125,0.1456,0
491,1909,5118,8.7692,0.1443,1
259,5515,1020,5.6424,0.1653,0
214,5431,3008,35.569,0.1516,1
395,4575,6612,1.7932,0.1381,0
375,4575,910,4.8256,0.1475,4
443,806,6459,3.4669,0.1507,4
155,1909,2891,5.2886,0.167,0
23,5515,5500,5.4153,0.1422,2
386,2198,620,7.4761,0.1614,3
180,4575,3149,6.5224,0.1481,3
206,1909,620,4.6549,0.1191,3
141,1909,7118,12.9971,0.1371,2
375,1909,6459,5.0459,0.1459,4
438,5431,1117,2.4248,0.1682,2
254,2198,4840,3.758,0.1331,4
33,5431,6612,11.8188,0.1341,3
240,5515,6612,3.2508,0.1382,0
437,5021,2315,0.5869,0.149,0
472,429,4137,3.1863,0.1245,3
385,69,248,6.0566,0.1485,1
209,2540,3008,13.0415,0.1507,2
39,5431,3229,14.9444,0.144,0
95,5515,4501,2.2111,0.1527,1
30,4575,4612,1.7885,0.1548,3
41,5515,4134,6.5633,0.153,3
281,1909,2915,8.4185,0.1509,3
17,1243,1787,1.4694,0.1741,3
420,2198,3237,7.2725,0.1431,1
360,806,3266,7.6809,0.1704,3
288,2540,3215,13.4004,0.1592,0
255,1909,2456,2.2061,0.1554,0
440,429,4134,6.9956,0.148,1
391,5431,6612,5.4374,0.1269,0
338,5431,6612,3.4022,0.1345,3
185,4575,35,7.7942,0.1493,3
12,5431,6612,4.9258,0.14,2
46,5515,5405,4.552,0.1704,0
410,4415,620,2.3898,0.1566,0
80,69,27,6.6007,0.163,4
121,2198,6388,5.8373,0.1509,3
182,4575,3229,11.4477,0.1341,4
84,1909,7402,8.8724,0.1481,1
87,5515,4295,3.2489,0.1588,1
83,1103,2419,4.9581,0.1623,1
266,2198,2314,7.3807,0.1369,1
212,1909,355,2.6129,0.1512,1
363,1909,6359,28.4916,0.165,4
86,1650,5257,1.862,0.1411,0
